ID,Age,Gender,F_V_BCD,S_Z_BCD,SH_ZH_BCD,TH_DH_BCD,F_V_WCD,S_Z_WCD,SH_ZH_WCD,TH_DH_WCD,F_V_CO,S_Z_CO,SH_ZH_CO,TH_DH_CO,F_V_CD,S_Z_CD,SH_ZH_CD,TH_DH_CD,Condition
S093,68,female ,1135.5982312300666,704.8212978211591,,-25.6187461902457,1166.5534840122814,1637.3607592371973,1095.9756110927376,846.0730063436315,2020.1061634614896,4653.732838255804,0.0,3293.080444854124,0.9096530451838318,0.4222282051479844,,-0.029270645143062636,cd
S139,69,female ,,-503.96485781873344,,2470.5608693753497,758.2598676165189,1942.5164724592264,0.0,1721.4797842364305,0.0,6559.956875470779,0.0,2965.1160086113678,,-0.25692912717715455,,1.4316416371769434,cd
S092,74,female ,2597.7533750678244,1192.167823847668,,837.8089250280339,1083.2098276946026,1544.3597869036844,654.1015480814075,904.1941142406231,-431.33371967861933,5161.686667115052,0.0,1442.152215547147,1.7419996244667382,0.7668219413409777,,0.8467685715711636,cd
S095,74,female ,1719.9447180856187,676.4752248444488,,-548.2420458667873,1480.2600782798024,1899.899502216388,1715.992442951085,1150.6664054065031,2452.397205383589,5649.085604915003,0.0,4971.323198416587,1.1618947998399298,0.3477688182270173,,-0.35294626605702517,cd
S114,66,male ,,2446.687056953317,,2972.849564622724,235.71428288533036,980.5656568316762,42.816009507975195,91.17841417619408,0.0,-55.75563030915919,0.0,-2540.298761782878,,1.8240992224594417,,23.05504110358886,cd
S080,55,male ,-2997.43560577023,-54.22264528411847,,-628.509823429803,350.62121978757193,642.5134467052146,3692.21727274531,790.7517609184598,3698.678045345374,1945.0852438690533,0.0,2210.0133452667224,-6.04500504645516,-0.07601963869261008,,-0.5620266437008935,cd
S141,65,male ,831.1451034840202,1249.299781343477,,-320.41920983297416,668.9415067346835,996.3611678547536,231.17541816789094,258.6069692062772,254.59605738488972,2492.7420664913902,0.0,1486.8620295184573,0.97497403426078,1.224980209171134,,-0.8761194518103178,cd
S156,71,female ,,2409.3780328974094,,907.7713747039861,636.6802139140527,1250.5794153335519,718.9706707174978,625.9990352410764,0.0,1839.1453092581291,0.0,1893.3078658274865,,1.7380098732071851,,1.4494233782324197,cd
S087,70,female ,-448.1872847894929,97.6047727174473,,-192.43273739281096,333.34784873354494,1504.7770128600814,57.859959979918884,237.84322884246617,1168.6650291370706,3368.95738880904,0.0,1081.616420737658,-1.2584987189602483,0.06131390430561164,,-0.5721016074116287,cd
S110,73,female ,1477.4655019423212,2091.036422191688,,,455.83022598002145,1758.4169928522601,,431.2900378133522,-65.67006101287723,2303.507198781994,0.0,0.0,2.674733456894746,1.1065962622912315,,,cd
